tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58991.41055560019,"1237410555915015052",1,1237410555915,20.921911,1,1237,6.073475,18.165005,"","",18.1033,"",0.059191965,"","",0.031,"",277.6334223,42.6877079,0.93,"t17_f5_c3",0.99999905,18.0646,0.0371,726120159,false,false,false,"","bulk_1.0.0",0,1243432915915015000
"ztf",58991.447210600134,"1237447215915015029",2,1237447215915,20.767868,1,1237,9.721355,18.44398,"","",18.4434,"",0.06888456,"","",0.0509,"",277.6334272,42.6877198,0.9128571,"t17_f5_c3",0.9757333,18.3868,0.061,726120259,false,false,false,"","bulk_1.0.0",0,1243432915915015000
"ztf",58994.3988541998,"1240398855915015024",1,1240398855915,20.63114,1,1240,6.1615286,18.846638,"","",18.7281,"",0.09787825,"","",0.0566,"",277.6333917,42.687714,0.81142855,"t17_f5_c3",0.9999969,18.6917,0.0691,726120159,false,false,false,"","bulk_1.0.0",0,1243432915915015000
"ztf",58997.411574100144,"1243411575915015030",1,1243411575915,20.953514,1,1243,6.1651173,19.310354,"","",19.3025,"",0.08319273,"","",0.0845,"",277.6333939,42.687722,0.8914286,"t17_f5_c3",0.9999986,19.2136,0.0988,726120159,false,false,false,"","bulk_1.0.0",0,1243432915915015000
"ztf",58997.43291669991,"1243432915915015028",2,1243432915915,20.759443,1,1243,9.721119,19.686518,"","",19.4228,"",0.14539534,"","",0.121,"",277.6333673,42.6876762,0.50857145,"t17_f5_c3",0.9999297,19.2415,0.1309,726120259,false,false,false,"","bulk_1.0.0",0,1257307175915015000
"ztf",59000.38199070003,"1246381995915015016",2,1246381995915,19.4146,1,1246,10.0013,19.9702,"","",19.4604,"",0.30686,"","",0.412,"",277.6333556,42.6877819,0.218571,"t17_f5_c3","",19.3756,0.4898,"",false,false,false,"","bulk_1.0.0",0,1257307175915015000
"ztf",59004.297326399945,"1250297325915015003",2,1250297325915,19.8615,1,1250,9.68259,20.0009,"","",20.1011,"",0.29989,"","",0.535,"",277.6335404,42.6877772,0.244286,"t17_f5_c3","",19.8726,0.5569,"",false,false,false,"","bulk_1.0.0",0,1257307175915015000
"ztf",59008.31130790012,"1254311305915015022",1,1254311305915,19.847,1,1254,6.0966,20.104,"","",20.4709,"",0.263328,"","",0.6014,"",277.6334233,42.687731,0.327143,"t17_f5_c3","",20.4183,0.736,"",false,false,false,"","bulk_1.0.0",0,1257307175915015000
"ztf",59009.37218749989,"1255372185915015025",2,1255372185915,20.1075,1,1255,9.9959,20.4226,"","",20.6147,"",0.265668,"","",0.5751,"",277.6333054,42.6877379,0.408571,"t17_f5_c3","",20.0995,0.46,"",false,false,false,"","bulk_1.0.0",0,1257307175915015000
"ztf",59011.307175899856,"1257307175915015023",1,1257307175915,20.661943,1,1257,5.968032,20.261827,"","",20.349,"",0.20794709,"","",0.2869,"",277.6334531,42.6876638,0.63285714,"t17_f5_c3",0.99993956,20.3105,0.3547,726120159,false,false,false,"","bulk_1.0.0",0,1258321735915015000
"ztf",59011.32297449978,"1257322975915015029",2,1257322975915,20.4579,1,1257,9.85199,20.4249,"","",20.5246,"",0.21813,"","",0.4544,"",277.6334153,42.6877604,0.455714,"t17_f5_c3","",19.9474,0.3432,"",false,false,false,"","bulk_1.0.0",0,1258321735915015000
"ztf",59012.27723379992,"1258277235915015042",2,1258277235915,20.7668,1,1258,9.757,20.6864,"","",20.6688,"",0.245551,"","",0.3762,"",277.633339,42.6876693,0.301429,"t17_f5_c3","",20.2008,0.3143,"",false,false,false,"","bulk_1.0.0",0,1258321735915015000
"ztf",59012.32173610013,"1258321735915015030",1,1258321735915,20.980297,1,1258,6.233576,20.45763,"","",20.0661,"",0.20502146,"","",0.1613,"",277.6333574,42.6877004,0.37285715,"t17_f5_c3",0.9999316,19.9692,0.1886,726120159,false,false,false,"","bulk_1.0.0",0,1260358125915015000
"ztf",59013.33206020016,"1259332065915015021",2,1259332065915,20.5193,1,1259,9.62629,20.6603,"","",20.4118,"",0.268871,"","",0.3236,"",277.6334027,42.6876681,0.187143,"t17_f5_c3","",20.3411,0.389,"",false,false,false,"","bulk_1.0.0",0,1260358125915015000
"ztf",59014.358124999795,"1260358125915015017",1,1260358125915,20.959501,1,1260,6.2706738,20.839697,"","",21.3082,"",0.20536217,"","",0.5093,"",277.6333688,42.6877682,0.50285715,"t17_f5_c3",0.99996614,20.9427,0.4674,726120159,true,false,false,"","bulk_1.0.0",0,0