tid,mjd,fid,diffmaglim
"ztf",58961.439675900154,2,20.2208
"ztf",58964.442013899796,2,20.7335
"ztf",58964.46435189992,1,20.9014
"ztf",58967.41091440013,2,20.6881
"ztf",58967.45481480006,1,20.8955
"ztf",58970.43449069979,2,20.7785
"ztf",58970.4679744998,1,21.0524
"ztf",58973.3688194002,2,19.9452
"ztf",58976.353460600134,2,19.5326
"ztf",58976.49232639978,1,19.3906
"ztf",58979.34028939996,2,19.8568
"ztf",58985.407835599966,2,20.7814
"ztf",58985.43718749983,1,20.7826
"ztf",59000.423773100134,1,18.1156
"ztf",59004.4763656999,1,19.9685
"ztf",59008.34071760019,2,20.0061
"ztf",59009.28525459999,1,20.0337